Gender,Financial_Issues,Family_Issues,Study_Hours,Teaching_Method,Health_Issues,Partiality,Exam_Schedule,Friend_Issues,Pressure,Regular,Interaction,Stress_Level
1,0,1,3,0,1,1,4,0,1,1,2,Stressed
2,0,0,6,1,0,1,5,0,1,1,1,Stressed
1,0,0,6,0,1,1,4,0,1,0,1,Stressed
1,1,0,3,1,1,1,3,0,1,0,3,Stressed
1,0,0,7,1,1,0,2,1,0,0,4,Stressed
2,0,0,3,0,1,0,3,0,0,0,2,Stressed
1,1,1,2,1,1,1,1,0,0,1,2,Stressed
1,0,0,4,0,0,1,1,1,0,0,1,Stress_Free
1,1,1,7,0,1,0,4,0,0,1,1,Stressed
2,1,1,7,0,0,1,5,0,1,1,4,Stressed
1,0,0,5,1,0,0,3,1,0,1,4,Stress_Free
1,1,0,1,1,0,0,5,0,1,1,4,Stressed
1,0,1,4,0,0,0,4,0,0,0,3,Stressed
1,1,0,6,0,1,1,1,0,0,0,1,Stressed
2,1,0,7,1,0,1,5,0,0,0,3,Stressed
1,0,1,3,0,0,0,5,0,0,1,1,Stressed
2,1,1,4,0,1,0,1,1,0,1,1,Stressed
2,1,0,5,1,1,0,3,1,1,1,2,Stressed
2,1,1,6,0,1,0,1,1,1,1,1,Stressed
1,1,0,1,1,0,0,5,1,1,1,1,Stressed
2,1,0,1,0,1,1,3,1,0,0,3,Stressed
1,0,0,5,1,1,0,3,1,0,1,1,Stressed
2,1,1,5,0,0,1,1,0,1,0,3,Stressed
2,0,1,3,0,1,0,5,1,0,1,4,Stressed
2,1,1,7,1,1,1,4,1,0,1,1,Stressed
2,0,1,1,0,1,1,5,0,1,0,1,Stressed
2,0,1,6,1,1,1,2,0,0,0,3,Stressed
2,1,0,4,0,0,1,4,1,1,1,4,Stressed
2,1,0,6,1,1,1,3,0,0,1,2,Stressed
2,1,0,2,1,1,1,4,1,1,1,4,Stressed
1,0,0,2,1,0,0,3,0,0,1,3,Stress_Free
1,1,1,5,1,1,1,3,1,0,0,4,Stressed
2,0,0,3,0,0,0,4,0,1,1,3,Stressed
2,0,1,2,0,1,1,3,0,0,0,3,Stressed
2,0,0,1,1,0,1,3,1,0,1,2,Stress_Free
1,1,1,6,1,0,0,2,1,1,0,1,Stressed
2,1,1,6,1,0,1,5,1,0,0,3,Stressed
1,0,0,5,0,0,0,5,1,1,1,3,Stressed
1,0,0,7,0,1,0,2,1,0,0,2,Stressed
1,1,0,7,0,0,0,4,0,0,1,3,Stressed
1,0,0,4,0,1,0,1,1,0,0,1,Stressed
1,1,1,5,1,0,1,1,1,0,1,2,Stressed
2,0,0,4,1,0,1,1,0,1,0,1,Stressed
2,1,0,7,1,0,0,2,0,0,1,1,Stressed
2,0,1,5,0,1,1,2,1,1,1,2,Stressed
2,1,0,5,0,0,1,3,0,0,0,3,Stressed
2,0,0,5,0,1,0,1,0,0,0,1,Stressed
1,1,0,7,1,1,1,4,1,0,0,1,Stressed
2,1,0,4,1,1,0,4,0,0,0,1,Stressed
2,0,0,4,0,1,0,1,0,1,1,1,Stressed
1,0,1,5,1,1,1,1,1,1,0,2,Stressed
2,1,0,2,0,1,1,1,1,1,1,2,Stressed
1,0,0,3,0,1,1,2,0,1,0,4,Stressed
2,1,0,7,1,1,0,2,0,0,1,4,Stressed
1,0,0,3,0,1,0,2,1,1,1,1,Stressed
2,1,0,3,1,0,1,5,0,1,1,3,Stressed
2,1,1,4,0,0,1,4,0,0,1,1,Stressed
1,1,0,4,1,0,1,4,0,0,0,3,Stressed
1,1,1,2,1,0,1,3,1,0,0,1,Stressed
1,1,1,3,1,0,0,2,0,0,1,4,Stressed
1,1,0,3,0,1,1,5,0,1,0,4,Stressed
1,0,0,5,0,1,0,5,1,1,0,3,Stressed
1,0,0,4,1,1,0,4,0,0,1,1,Stressed
1,0,0,3,1,1,1,2,0,0,0,3,Stressed
1,1,1,6,0,1,1,3,1,0,0,4,Stressed
2,1,0,2,0,1,1,2,1,1,0,1,Stressed
2,1,0,6,0,1,0,1,1,1,1,1,Stressed
1,1,0,6,1,0,1,2,1,0,0,3,Stressed
2,0,0,7,0,0,1,1,0,0,1,2,Stress_Free
2,0,0,7,0,0,0,1,0,1,0,3,Stressed
2,1,0,2,1,0,1,3,1,0,0,4,Stressed
2,0,1,6,0,1,0,4,1,0,0,4,Stressed
1,0,1,3,0,1,1,2,0,1,1,4,Stressed
2,1,0,4,0,1,0,1,1,0,1,4,Stressed
1,0,0,2,1,0,1,2,0,1,0,4,Stressed
2,1,0,5,1,1,1,4,1,0,1,2,Stressed
2,0,1,6,1,1,0,4,0,0,0,1,Stressed
2,1,0,2,1,1,0,5,1,1,1,3,Stressed
1,1,1,1,1,0,1,4,1,1,1,3,Stressed
2,1,0,1,1,1,0,3,0,0,0,4,Stressed
1,1,0,7,1,0,0,1,1,1,0,3,Stressed
2,0,0,4,0,0,0,5,0,0,0,4,Stress_Free
1,1,0,3,0,0,0,3,0,0,0,2,Stressed
2,1,1,4,1,0,1,2,0,1,1,2,Stressed
1,1,1,4,0,1,1,1,0,0,1,1,Stressed
1,0,0,4,0,0,0,4,0,0,1,2,Stress_Free
2,1,0,4,1,0,0,1,1,1,0,2,Stressed
1,0,1,5,0,1,0,2,1,1,0,1,Stressed
2,1,1,5,0,1,0,5,0,0,1,3,Stressed
2,0,1,7,0,0,1,5,1,1,0,4,Stressed
2,0,1,2,0,1,1,5,0,1,1,4,Stressed
2,1,0,1,0,0,0,4,1,1,1,3,Stressed
2,0,1,4,1,0,0,3,1,1,1,1,Stressed
2,1,0,7,1,0,0,3,1,0,1,3,Stressed
2,1,1,2,1,0,1,1,1,0,1,2,Stressed
2,1,1,1,0,1,0,4,0,0,0,1,Stressed
2,0,1,6,1,0,1,5,0,1,0,1,Stressed
2,0,1,3,0,1,0,5,1,1,0,1,Stressed
2,1,1,5,0,1,1,2,1,1,1,4,Stressed
1,1,0,6,0,1,0,2,0,1,1,3,Stressed
1,0,0,1,0,1,1,5,1,1,1,1,Stressed
2,1,1,6,1,0,0,5,0,1,1,1,Stressed
2,1,1,3,1,1,0,4,0,1,0,1,Stressed
2,1,0,7,0,0,0,3,0,0,0,3,Stressed
2,0,1,1,1,1,1,2,1,0,1,4,Stressed
2,0,1,6,0,1,0,3,0,1,1,2,Stressed
2,0,0,5,1,0,1,4,1,1,1,4,Stressed
2,1,1,5,1,0,1,5,0,1,0,1,Stressed
2,1,1,2,0,0,0,3,1,0,0,4,Stressed
1,1,0,6,1,1,0,5,1,0,0,4,Stressed
2,0,0,4,0,1,0,5,1,1,1,2,Stressed
1,1,0,6,1,0,1,1,0,1,1,3,Stressed
2,1,1,7,0,0,0,3,0,0,0,3,Stressed
2,1,0,1,0,0,1,3,1,0,1,4,Stressed
1,1,0,1,1,0,1,5,1,0,0,4,Stressed
2,0,0,7,1,1,0,4,1,0,1,3,Stressed
1,0,0,6,0,0,0,1,0,1,0,3,Stressed
2,1,0,7,1,0,0,5,0,0,1,2,Stressed
2,0,0,3,1,0,0,2,0,0,0,1,Stress_Free
1,0,1,7,0,0,0,2,0,1,0,4,Stressed
2,1,1,5,0,1,0,1,1,0,0,3,Stressed
1,1,0,7,1,0,1,4,1,0,0,4,Stressed
2,0,0,1,0,1,1,5,0,0,0,4,Stressed
1,1,0,5,0,0,1,3,0,1,0,3,Stressed
1,0,1,1,0,0,0,1,1,0,1,2,Stressed
2,1,1,2,1,1,1,4,0,1,1,4,Stressed
2,0,1,4,1,0,1,3,0,1,1,2,Stressed
1,1,1,1,0,1,1,2,0,0,0,3,Stressed
2,0,1,5,1,1,1,2,0,0,0,1,Stressed
2,0,1,2,0,0,1,3,0,0,1,1,Stressed
2,0,1,1,1,1,0,1,0,0,0,4,Stressed
1,1,1,3,0,1,0,2,1,1,0,3,Stressed
1,0,1,7,0,1,1,5,0,0,0,2,Stressed
1,0,0,4,1,1,1,3,0,0,0,4,Stressed
1,1,0,1,0,1,1,3,1,0,0,3,Stressed
1,1,0,2,1,1,0,2,1,1,1,3,Stressed
1,0,0,3,1,1,0,1,1,0,1,2,Stressed
1,0,1,6,0,1,1,5,0,0,1,4,Stressed
1,1,1,2,0,0,0,1,1,1,1,3,Stressed
1,1,0,7,1,0,0,4,0,1,1,3,Stressed
2,1,1,2,0,1,1,4,0,0,0,3,Stressed
1,1,0,3,0,0,0,2,0,0,0,2,Stressed
2,1,1,2,0,1,0,2,1,0,0,4,Stressed
2,0,0,3,0,1,1,2,1,0,0,4,Stressed
2,1,1,1,0,0,0,4,1,0,1,4,Stressed
1,0,1,3,1,1,0,1,1,1,1,4,Stressed
1,0,0,3,1,1,1,1,1,1,1,1,Stressed
1,0,1,4,0,1,0,2,0,0,0,1,Stressed
1,1,0,3,0,1,0,5,0,0,1,4,Stressed
2,0,0,3,0,0,1,1,0,1,0,2,Stressed
1,0,0,6,1,1,1,4,0,0,1,1,Stressed
1,1,0,1,0,1,1,3,1,0,1,3,Stressed
1,0,1,7,1,1,0,3,1,0,0,1,Stressed
1,0,1,4,1,0,1,3,0,0,0,3,Stressed
1,1,1,6,1,1,0,5,1,0,1,4,Stressed
2,0,0,5,0,0,1,2,1,1,1,1,Stressed
1,0,1,1,1,0,0,4,0,0,0,2,Stressed
2,0,0,1,0,1,1,5,0,0,1,1,Stressed
1,1,1,5,1,1,1,4,1,0,1,1,Stressed
2,1,1,7,0,0,1,4,1,1,0,1,Stressed
1,1,1,3,1,1,1,2,0,1,1,4,Stressed
1,0,0,6,0,0,0,3,0,1,0,2,Stressed
2,0,1,2,1,0,1,2,0,1,1,1,Stressed
2,1,1,4,0,1,1,5,1,0,0,2,Stressed
2,0,0,2,0,1,0,5,0,1,1,4,Stressed
1,0,1,5,0,0,1,5,0,0,0,3,Stressed
2,1,0,1,0,0,0,2,1,0,1,1,Stressed
1,1,1,7,1,0,1,4,1,1,0,2,Stressed
1,0,0,1,1,0,1,4,1,1,1,2,Stressed
2,0,0,4,0,1,1,1,1,1,1,4,Stressed
2,0,1,1,1,1,0,5,1,1,1,1,Stressed
1,1,0,1,0,1,1,4,0,1,1,3,Stressed
1,1,0,4,0,1,1,1,0,0,1,2,Stressed
2,1,0,6,1,1,1,4,1,1,1,1,Stressed
2,1,0,6,0,0,0,5,1,1,1,3,Stressed
2,0,0,4,0,1,0,3,1,1,1,2,Stressed
1,1,0,7,1,1,1,5,1,0,1,2,Stressed
1,1,1,5,0,1,0,2,1,1,0,3,Stressed
1,1,0,1,0,1,1,4,0,0,0,3,Stressed
1,1,0,7,0,1,1,4,0,1,1,4,Stressed
1,1,1,1,0,0,1,2,0,1,0,1,Stressed
1,0,1,5,1,0,1,2,0,0,1,1,Stressed
2,0,1,6,1,0,1,3,1,1,1,4,Stressed
1,1,1,7,1,1,1,4,0,0,0,2,Stressed
1,0,1,3,0,0,1,4,1,0,1,3,Stressed
1,1,1,3,0,0,0,3,1,0,1,3,Stressed
2,1,1,3,1,1,0,1,1,1,0,3,Stressed
1,0,0,6,0,1,0,3,0,1,0,2,Stressed
1,0,0,6,0,1,0,5,1,1,1,3,Stressed
2,1,1,5,0,0,0,4,0,0,0,3,Stressed
1,1,0,1,0,0,0,2,0,1,0,4,Stressed
1,1,0,5,1,1,0,5,1,0,1,2,Stressed
1,0,0,5,1,1,1,4,1,1,0,1,Stressed
1,1,1,6,1,0,1,3,1,0,0,4,Stressed
1,1,1,3,0,0,1,5,0,0,1,4,Stressed
2,1,0,2,1,1,1,4,1,0,0,1,Stressed
2,0,1,1,1,1,0,1,0,1,0,4,Stressed
2,1,0,6,0,0,0,1,1,0,1,2,Stressed
1,1,0,3,0,1,1,2,1,0,1,3,Stressed
1,0,0,7,1,0,1,4,0,0,1,2,Stress_Free
1,1,0,2,1,0,0,1,0,0,0,1,Stressed
2,1,1,2,1,0,1,3,0,0,1,1,Stressed
1,0,1,6,1,0,1,4,0,0,1,4,Stressed
1,1,1,4,0,1,1,3,0,1,0,2,Stressed
2,0,0,1,1,1,1,3,0,1,1,2,Stressed
1,0,1,2,1,0,0,1,1,0,1,1,Stressed
2,1,0,6,0,0,1,4,1,1,1,2,Stressed
2,1,1,6,1,0,1,5,0,1,1,1,Stressed
2,1,0,3,0,0,0,1,1,0,0,2,Stressed
1,1,0,7,0,0,0,1,0,0,1,2,Stressed
1,0,0,4,0,1,1,4,1,0,1,2,Stressed
1,1,1,1,1,1,0,4,1,1,0,1,Stressed
1,0,1,5,1,1,1,3,0,0,1,4,Stressed
1,1,1,7,0,1,1,4,0,1,0,2,Stressed
1,1,1,7,1,0,0,3,0,0,0,1,Stressed
1,1,0,3,1,0,1,1,1,1,0,1,Stressed
2,0,1,2,0,0,1,2,0,0,1,2,Stressed
1,1,1,2,0,0,1,5,1,0,0,2,Stressed
2,1,0,3,1,0,1,1,0,1,0,4,Stressed
1,1,0,6,0,1,0,4,1,1,0,1,Stressed
1,1,0,2,1,0,0,5,1,1,1,1,Stressed
1,0,1,4,1,1,1,2,0,1,1,3,Stressed
2,1,0,1,1,1,0,2,1,1,1,1,Stressed
2,0,0,7,1,1,1,3,1,1,1,4,Stressed
2,0,0,7,0,1,1,5,0,0,1,3,Stressed
2,0,1,4,0,0,1,3,1,1,1,3,Stressed
1,0,0,2,0,1,1,1,0,0,1,3,Stressed
2,0,1,7,0,1,1,5,0,0,0,2,Stressed
1,0,1,5,1,1,0,1,0,1,0,2,Stressed
1,1,0,1,1,0,1,3,0,0,0,1,Stressed
2,0,0,1,0,0,0,5,1,1,0,3,Stressed
2,0,1,7,1,0,0,3,1,1,1,4,Stressed
2,0,0,3,1,1,1,5,1,0,0,2,Stressed
2,1,0,7,1,1,1,3,0,0,0,4,Stressed
2,1,1,3,0,0,1,2,1,1,0,4,Stressed
2,0,1,7,0,1,1,3,1,1,0,2,Stressed
2,1,0,5,0,0,1,2,0,0,1,2,Stressed
2,0,1,6,1,0,0,3,0,0,1,2,Stressed
1,0,0,1,0,1,1,5,1,0,1,2,Stressed
2,1,0,7,0,1,1,5,0,0,0,3,Stressed
2,0,0,5,0,1,0,5,0,1,1,3,Stressed
1,1,1,3,0,1,0,4,0,1,0,3,Stressed
2,1,0,3,0,0,1,1,0,1,1,3,Stressed
1,0,0,1,0,0,0,5,1,1,1,1,Stressed
1,0,0,4,1,0,1,2,0,0,1,3,Stress_Free
2,1,1,7,1,0,0,5,0,0,1,2,Stressed
1,0,1,2,0,0,0,4,0,1,1,4,Stressed
